panel,omega_r,omega_i,lambda_re,lambda_im
0,-0.0,0.0007386760948900001,2.51729,0.0
0,-0.0,0.0007335467462100001,2.49981,0.0
0,-5.580954379e-05,0.00070113031894,2.38934,0.19019
0,5.580954379e-05,0.00070113031894,2.38934,-0.19019
0,-0.0,0.0006950179429100001,2.36851,0.0
0,-5.6191017090000006e-05,0.0006931311172800001,2.36208,0.19149
0,5.6191017090000006e-05,0.0006931311172800001,2.36208,-0.19149
0,-0.0,0.00068012581216,2.31776,0.0
0,-0.0,0.0006725022149800001,2.29178,0.0
0,-0.00028760445851000005,0.0006489594435500001,2.21155,0.98011
0,0.00028760445851000005,0.0006489594435500001,2.21155,-0.98011
0,-0.0,0.00063556679631,2.16591,0.0
0,-0.00042799837055000004,0.00055384347781,1.88741,1.45855
0,0.00042799837055000004,0.00055384347781,1.88741,-1.45855
0,-0.00011004330941000001,0.0005187714094900001,1.76789,0.37501
0,0.00011004330941000001,0.0005187714094900001,1.76789,-0.37501
0,-0.0004488092062700001,0.00045602198605000004,1.55405,1.52947
0,0.0004488092062700001,0.00045602198605000004,1.55405,-1.52947
0,-0.0003276562206,0.0004480726693600001,1.52696,1.1166
0,0.0003276562206,0.0004480726693600001,1.52696,-1.1166
0,-0.00033422636459000003,0.00037838630068000003,1.28948,1.13899
0,0.00033422636459000003,0.00037838630068000003,1.28948,-1.13899
0,-0.0,0.00037559861118,1.27998,0.0
0,-0.00026075754142,0.00037341834455000006,1.27255,0.88862
0,0.00026075754142,0.00037341834455000006,1.27255,-0.88862
0,-0.0,0.00036183622828000003,1.23308,0.0
0,-5.343560610000001e-06,0.00036106741286000006,1.23046,0.01821
0,5.343560610000001e-06,0.00036106741286000006,1.23046,-0.01821
0,-0.0,0.00035376366637,1.20557,0.0
0,-0.0,0.00035070601115000003,1.19515,0.0
0,-6.542560536e-05,0.00034071434510000005,1.1611,0.22296
0,6.542560536e-05,0.00034071434510000005,1.1611,-0.22296
0,-0.0,0.00032020868802000007,1.09122,0.0
0,-0.0,0.00031898797346,1.08706,0.0
0,-0.0,0.00026285564457,0.89577,0.0
0,-0.00015942649530000002,0.00025376190798,0.86478,0.5433
0,0.00015942649530000002,0.00025376190798,0.86478,-0.5433
0,-0.0,0.00024600332794000003,0.83834,0.0
0,-0.0,9.685313646000001e-05,0.33006,0.0
0,-4.328841632000001e-05,7.599535018000001e-05,0.25898,0.14752
0,4.328841632000001e-05,7.599535018000001e-05,0.25898,-0.14752
0,-2.5015845250000004e-05,6.928435451e-05,0.23611,0.08525
0,2.5015845250000004e-05,6.928435451e-05,0.23611,-0.08525
0,-4.047725154e-05,5.687473462e-05,0.19382,0.13794
0,4.047725154e-05,5.687473462e-05,0.19382,-0.13794
0,-3.8543475350000003e-05,4.315049905e-05,0.14705,0.13135
0,3.8543475350000003e-05,4.315049905e-05,0.14705,-0.13135
0,-7.810519097000001e-05,4.255187941e-05,0.14501,0.26617
0,7.810519097000001e-05,4.255187941e-05,0.14501,-0.26617
0,-3.768956204e-05,3.321165238e-05,0.11318,0.12844
0,3.768956204e-05,3.321165238e-05,0.11318,-0.12844
0,-0.0,3.177085707e-05,0.10827,0.0
0,-0.0,1.68141693e-05,0.0573,0.0
0,-1.5669749400000001e-06,7.039649590000001e-06,0.02399,0.00534
0,1.5669749400000001e-06,7.039649590000001e-06,0.02399,-0.00534
0,-0.0,4.648105440000001e-06,0.01584,0.0
0,-6.003802860000001e-06,4.8124324e-07,0.00164,0.02046
